Date et heure,Adresse MAC,Emplacement,Temperature,Consigne,Commande
2025-10-06 10:30:55,b8:27:eb:a2:f4:62,Poste 4,26.5,29,0.0
2025-10-06 10:30:57,b8:27:eb:a2:f4:62,Poste 4,26.5,29,4.1
2025-10-06 10:30:59,b8:27:eb:a2:f4:62,Poste 4,26.5,29,7.5
2025-10-06 10:31:01,b8:27:eb:a2:f4:62,Poste 4,26.5,29,10.8
2025-10-06 10:31:03,b8:27:eb:a2:f4:62,Poste 4,26.5,29,14.1
2025-10-06 10:31:05,b8:27:eb:a2:f4:62,Poste 4,26.5,29,17.5
2025-10-06 10:31:07,b8:27:eb:a2:f4:62,Poste 4,26.8,29,20.3
2025-10-06 10:31:09,b8:27:eb:a2:f4:62,Poste 4,26.8,29,23.3
2025-10-06 10:31:11,b8:27:eb:a2:f4:62,Poste 4,26.8,29,26.2
2025-10-06 10:31:13,b8:27:eb:a2:f4:62,Poste 4,27.0,29,28.7
2025-10-06 10:31:15,b8:27:eb:a2:f4:62,Poste 4,27.0,29,31.4
2025-10-06 10:31:17,b8:27:eb:a2:f4:62,Poste 4,27.2,29,33.6
2025-10-06 10:31:19,b8:27:eb:a2:f4:62,Poste 4,27.2,29,35.9
2025-10-06 10:31:21,b8:27:eb:a2:f4:62,Poste 4,27.5,29,37.9
2025-10-06 10:31:23,b8:27:eb:a2:f4:62,Poste 4,27.8,29,39.6
2025-10-06 10:31:25,b8:27:eb:a2:f4:62,Poste 4,27.5,29,41.5
2025-10-06 10:31:27,b8:27:eb:a2:f4:62,Poste 4,28.0,29,42.6
2025-10-06 10:31:29,b8:27:eb:a2:f4:62,Poste 4,28.0,29,43.9
2025-10-06 10:31:31,b8:27:eb:a2:f4:62,Poste 4,28.2,29,44.8
2025-10-06 10:31:33,b8:27:eb:a2:f4:62,Poste 4,28.2,29,45.7
2025-10-06 10:31:35,b8:27:eb:a2:f4:62,Poste 4,28.5,29,46.3
2025-10-06 10:31:37,b8:27:eb:a2:f4:62,Poste 4,28.8,29,46.7
2025-10-06 10:31:39,b8:27:eb:a2:f4:62,Poste 4,28.8,29,46.9
2025-10-06 10:31:41,b8:27:eb:a2:f4:62,Poste 4,29.0,29,46.8
2025-10-06 10:31:43,b8:27:eb:a2:f4:62,Poste 4,29.2,29,46.5
2025-10-06 10:31:45,b8:27:eb:a2:f4:62,Poste 4,29.2,29,46.1
2025-10-06 10:31:47,b8:27:eb:a2:f4:62,Poste 4,29.2,29,45.7
2025-10-06 10:31:49,b8:27:eb:a2:f4:62,Poste 4,29.5,29,44.9
2025-10-06 10:31:51,b8:27:eb:a2:f4:62,Poste 4,29.5,29,44.3
2025-10-06 10:31:53,b8:27:eb:a2:f4:62,Poste 4,29.8,29,43.3
2025-10-06 10:31:55,b8:27:eb:a2:f4:62,Poste 4,29.8,29,42.3
2025-10-06 10:31:57,b8:27:eb:a2:f4:62,Poste 4,30.0,29,40.8
2025-10-06 10:31:59,b8:27:eb:a2:f4:62,Poste 4,30.0,29,39.5
2025-10-06 10:32:01,b8:27:eb:a2:f4:62,Poste 4,30.0,29,38.2
2025-10-06 10:32:03,b8:27:eb:a2:f4:62,Poste 4,30.2,29,36.4
2025-10-06 10:32:05,b8:27:eb:a2:f4:62,Poste 4,30.2,29,34.7
2025-10-06 10:32:07,b8:27:eb:a2:f4:62,Poste 4,30.5,29,32.5
2025-10-06 10:32:09,b8:27:eb:a2:f4:62,Poste 4,30.5,29,30.6
2025-10-06 10:32:11,b8:27:eb:a2:f4:62,Poste 4,30.5,29,28.6
2025-10-06 10:32:13,b8:27:eb:a2:f4:62,Poste 4,30.5,29,26.6
2025-10-06 10:32:15,b8:27:eb:a2:f4:62,Poste 4,30.5,29,24.6
2025-10-06 10:32:17,b8:27:eb:a2:f4:62,Poste 4,30.5,29,22.6
2025-10-06 10:32:19,b8:27:eb:a2:f4:62,Poste 4,30.5,29,20.4
2025-10-06 10:32:21,b8:27:eb:a2:f4:62,Poste 4,30.5,29,18.2
2025-10-06 10:32:23,b8:27:eb:a2:f4:62,Poste 4,30.8,29,15.9
2025-10-06 10:32:25,b8:27:eb:a2:f4:62,Poste 4,30.5,29,13.9
2025-10-06 10:32:27,b8:27:eb:a2:f4:62,Poste 4,30.5,29,11.7
2025-10-06 10:32:29,b8:27:eb:a2:f4:62,Poste 4,30.5,29,9.6
2025-10-06 10:32:31,b8:27:eb:a2:f4:62,Poste 4,30.5,29,7.7
2025-10-06 10:32:33,b8:27:eb:a2:f4:62,Poste 4,30.5,29,5.7
2025-10-06 10:32:35,b8:27:eb:a2:f4:62,Poste 4,30.5,29,3.7
2025-10-06 10:32:37,b8:27:eb:a2:f4:62,Poste 4,30.5,29,1.7
2025-10-06 10:32:39,b8:27:eb:a2:f4:62,Poste 4,30.2,29,0.0
2025-10-06 10:32:41,b8:27:eb:a2:f4:62,Poste 4,30.0,29,0.0
2025-10-06 10:32:43,b8:27:eb:a2:f4:62,Poste 4,30.2,29,0.0
2025-10-06 10:32:45,b8:27:eb:a2:f4:62,Poste 4,30.2,29,0.0
2025-10-06 10:32:47,b8:27:eb:a2:f4:62,Poste 4,30.2,29,0.0
2025-10-06 10:32:49,b8:27:eb:a2:f4:62,Poste 4,30.2,29,0.0
2025-10-06 10:32:51,b8:27:eb:a2:f4:62,Poste 4,30.2,29,0.0
2025-10-06 10:32:53,b8:27:eb:a2:f4:62,Poste 4,30.0,29,0.0
2025-10-06 10:32:55,b8:27:eb:a2:f4:62,Poste 4,30.0,29,0.0
2025-10-06 10:32:57,b8:27:eb:a2:f4:62,Poste 4,30.0,29,0.0
2025-10-06 10:32:59,b8:27:eb:a2:f4:62,Poste 4,30.0,29,0.0
2025-10-06 10:33:01,b8:27:eb:a2:f4:62,Poste 4,30.0,29,0.0
2025-10-06 10:33:03,b8:27:eb:a2:f4:62,Poste 4,29.5,29,0.0
2025-10-06 10:33:05,b8:27:eb:a2:f4:62,Poste 4,30.0,29,0.0
2025-10-06 10:33:07,b8:27:eb:a2:f4:62,Poste 4,30.0,29,0.0
2025-10-06 10:33:09,b8:27:eb:a2:f4:62,Poste 4,30.0,29,0.0
2025-10-06 10:33:11,b8:27:eb:a2:f4:62,Poste 4,30.0,29,0.0
2025-10-06 10:33:13,b8:27:eb:a2:f4:62,Poste 4,29.8,29,0.0
2025-10-06 10:33:15,b8:27:eb:a2:f4:62,Poste 4,29.8,29,0.0
2025-10-06 10:33:17,b8:27:eb:a2:f4:62,Poste 4,29.8,29,0.0
2025-10-06 10:33:19,b8:27:eb:a2:f4:62,Poste 4,30.0,29,0.0
2025-10-06 10:33:21,b8:27:eb:a2:f4:62,Poste 4,29.8,29,0.0
2025-10-06 10:33:23,b8:27:eb:a2:f4:62,Poste 4,29.8,29,0.0
2025-10-06 10:33:25,b8:27:eb:a2:f4:62,Poste 4,29.8,29,0.0
2025-10-06 10:33:27,b8:27:eb:a2:f4:62,Poste 4,29.8,29,0.0
2025-10-06 10:33:29,b8:27:eb:a2:f4:62,Poste 4,29.8,29,0.0
2025-10-06 10:33:31,b8:27:eb:a2:f4:62,Poste 4,29.8,29,0.0
2025-10-06 10:33:33,b8:27:eb:a2:f4:62,Poste 4,29.8,29,0.0
2025-10-06 10:33:35,b8:27:eb:a2:f4:62,Poste 4,29.8,29,0.0
2025-10-06 10:33:37,b8:27:eb:a2:f4:62,Poste 4,29.8,29,0.0
2025-10-06 10:33:39,b8:27:eb:a2:f4:62,Poste 4,29.5,29,0.0
2025-10-06 10:33:41,b8:27:eb:a2:f4:62,Poste 4,29.5,29,0.0
2025-10-06 10:33:43,b8:27:eb:a2:f4:62,Poste 4,29.8,29,0.0
2025-10-06 10:33:45,b8:27:eb:a2:f4:62,Poste 4,29.8,29,0.0
2025-10-06 10:33:47,b8:27:eb:a2:f4:62,Poste 4,29.5,29,0.0
2025-10-06 10:33:49,b8:27:eb:a2:f4:62,Poste 4,29.8,29,0.0
2025-10-06 10:33:51,b8:27:eb:a2:f4:62,Poste 4,29.5,29,0.0
2025-10-06 10:33:53,b8:27:eb:a2:f4:62,Poste 4,29.8,29,0.0
2025-10-06 10:33:55,b8:27:eb:a2:f4:62,Poste 4,29.5,29,0.0
2025-10-06 10:33:57,b8:27:eb:a2:f4:62,Poste 4,29.8,29,0.0
2025-10-06 10:33:59,b8:27:eb:a2:f4:62,Poste 4,29.5,29,0.0
2025-10-06 10:34:01,b8:27:eb:a2:f4:62,Poste 4,29.5,29,0.0
2025-10-06 10:34:03,b8:27:eb:a2:f4:62,Poste 4,29.5,29,0.0
2025-10-06 10:34:05,b8:27:eb:a2:f4:62,Poste 4,29.5,29,0.0
2025-10-06 10:34:07,b8:27:eb:a2:f4:62,Poste 4,29.5,29,0.0
2025-10-06 10:34:09,b8:27:eb:a2:f4:62,Poste 4,29.5,29,0.0
2025-10-06 10:34:11,b8:27:eb:a2:f4:62,Poste 4,29.5,29,0.0
2025-10-06 10:34:13,b8:27:eb:a2:f4:62,Poste 4,29.5,29,0.0
2025-10-06 10:34:15,b8:27:eb:a2:f4:62,Poste 4,29.5,29,0.0
2025-10-06 10:34:17,b8:27:eb:a2:f4:62,Poste 4,29.5,29,0.0
2025-10-06 10:34:19,b8:27:eb:a2:f4:62,Poste 4,29.5,29,0.0
2025-10-06 10:34:21,b8:27:eb:a2:f4:62,Poste 4,29.5,29,0.0
2025-10-06 10:34:23,b8:27:eb:a2:f4:62,Poste 4,29.5,29,0.0
2025-10-06 10:34:25,b8:27:eb:a2:f4:62,Poste 4,29.2,29,0.0
2025-10-06 10:34:27,b8:27:eb:a2:f4:62,Poste 4,29.5,29,0.0
2025-10-06 10:34:29,b8:27:eb:a2:f4:62,Poste 4,29.5,29,0.0
2025-10-06 10:34:31,b8:27:eb:a2:f4:62,Poste 4,29.5,29,0.0
2025-10-06 10:34:33,b8:27:eb:a2:f4:62,Poste 4,29.5,29,0.0
2025-10-06 10:34:35,b8:27:eb:a2:f4:62,Poste 4,29.5,29,0.0
2025-10-06 10:34:37,b8:27:eb:a2:f4:62,Poste 4,29.5,29,0.0
2025-10-06 10:34:39,b8:27:eb:a2:f4:62,Poste 4,29.5,29,0.0
2025-10-06 10:34:41,b8:27:eb:a2:f4:62,Poste 4,29.5,29,0.0
2025-10-06 10:34:43,b8:27:eb:a2:f4:62,Poste 4,29.5,29,0.0
2025-10-06 10:34:45,b8:27:eb:a2:f4:62,Poste 4,29.5,29,0.0
2025-10-06 10:34:47,b8:27:eb:a2:f4:62,Poste 4,29.2,29,0.0
2025-10-06 10:34:49,b8:27:eb:a2:f4:62,Poste 4,29.5,29,0.0
2025-10-06 10:34:51,b8:27:eb:a2:f4:62,Poste 4,29.5,29,0.0
2025-10-06 10:34:53,b8:27:eb:a2:f4:62,Poste 4,29.2,29,0.0
2025-10-06 10:34:55,b8:27:eb:a2:f4:62,Poste 4,29.5,29,0.0
2025-10-06 10:34:57,b8:27:eb:a2:f4:62,Poste 4,29.5,29,0.0
2025-10-06 10:34:59,b8:27:eb:a2:f4:62,Poste 4,29.5,29,0.0
2025-10-06 10:35:01,b8:27:eb:a2:f4:62,Poste 4,29.2,29,0.0
2025-10-06 10:35:03,b8:27:eb:a2:f4:62,Poste 4,29.2,29,0.0
2025-10-06 10:35:05,b8:27:eb:a2:f4:62,Poste 4,29.2,29,0.0
2025-10-06 10:35:07,b8:27:eb:a2:f4:62,Poste 4,29.2,29,0.0
2025-10-06 10:35:09,b8:27:eb:a2:f4:62,Poste 4,29.5,29,0.0
2025-10-06 10:35:11,b8:27:eb:a2:f4:62,Poste 4,29.5,29,0.0
2025-10-06 10:35:13,b8:27:eb:a2:f4:62,Poste 4,29.5,29,0.0
2025-10-06 10:35:15,b8:27:eb:a2:f4:62,Poste 4,29.2,29,0.0
2025-10-06 10:35:17,b8:27:eb:a2:f4:62,Poste 4,29.2,29,0.0
2025-10-06 10:35:19,b8:27:eb:a2:f4:62,Poste 4,28.0,29,1.1
2025-10-06 10:35:21,b8:27:eb:a2:f4:62,Poste 4,29.2,29,0.3
2025-10-06 10:35:23,b8:27:eb:a2:f4:62,Poste 4,29.2,29,0.0
2025-10-06 10:35:25,b8:27:eb:a2:f4:62,Poste 4,29.5,29,0.0
2025-10-06 10:35:27,b8:27:eb:a2:f4:62,Poste 4,29.2,29,0.0
2025-10-06 10:35:29,b8:27:eb:a2:f4:62,Poste 4,29.2,29,0.0
2025-10-06 10:35:31,b8:27:eb:a2:f4:62,Poste 4,29.2,29,0.0
2025-10-06 10:35:33,b8:27:eb:a2:f4:62,Poste 4,29.2,29,0.0
2025-10-06 10:35:35,b8:27:eb:a2:f4:62,Poste 4,29.2,29,0.0
2025-10-06 10:35:37,b8:27:eb:a2:f4:62,Poste 4,29.2,29,0.0
2025-10-06 10:35:39,b8:27:eb:a2:f4:62,Poste 4,29.2,29,0.0
2025-10-06 10:35:41,b8:27:eb:a2:f4:62,Poste 4,29.0,29,0.1
2025-10-06 10:35:43,b8:27:eb:a2:f4:62,Poste 4,29.2,29,0.0
2025-10-06 10:35:45,b8:27:eb:a2:f4:62,Poste 4,29.2,29,0.0
2025-10-06 10:35:47,b8:27:eb:a2:f4:62,Poste 4,29.2,29,0.0
2025-10-06 10:35:49,b8:27:eb:a2:f4:62,Poste 4,29.2,29,0.0
2025-10-06 10:35:51,b8:27:eb:a2:f4:62,Poste 4,29.2,29,0.0
2025-10-06 10:35:53,b8:27:eb:a2:f4:62,Poste 4,29.2,29,0.0
2025-10-06 10:35:55,b8:27:eb:a2:f4:62,Poste 4,29.2,29,0.0
2025-10-06 10:35:57,b8:27:eb:a2:f4:62,Poste 4,29.2,29,0.0
2025-10-06 10:35:59,b8:27:eb:a2:f4:62,Poste 4,29.2,29,0.0
2025-10-06 10:36:01,b8:27:eb:a2:f4:62,Poste 4,29.2,29,0.0
2025-10-06 10:36:03,b8:27:eb:a2:f4:62,Poste 4,27.8,29,1.3
2025-10-06 10:36:05,b8:27:eb:a2:f4:62,Poste 4,29.2,29,0.4
2025-10-06 10:36:07,b8:27:eb:a2:f4:62,Poste 4,29.2,29,0.0
2025-10-06 10:36:09,b8:27:eb:a2:f4:62,Poste 4,29.2,29,0.0
2025-10-06 10:36:11,b8:27:eb:a2:f4:62,Poste 4,29.2,29,0.0
2025-10-06 10:36:13,b8:27:eb:a2:f4:62,Poste 4,29.2,29,0.0
2025-10-06 10:36:15,b8:27:eb:a2:f4:62,Poste 4,29.2,29,0.0
2025-10-06 10:36:17,b8:27:eb:a2:f4:62,Poste 4,29.2,29,0.0
2025-10-06 10:36:19,b8:27:eb:a2:f4:62,Poste 4,29.0,29,0.1
2025-10-06 10:36:21,b8:27:eb:a2:f4:62,Poste 4,29.2,29,0.0
2025-10-06 10:36:23,b8:27:eb:a2:f4:62,Poste 4,29.2,29,0.0
2025-10-06 10:36:25,b8:27:eb:a2:f4:62,Poste 4,29.2,29,0.0
2025-10-06 10:36:27,b8:27:eb:a2:f4:62,Poste 4,29.2,29,0.0
2025-10-06 10:36:29,b8:27:eb:a2:f4:62,Poste 4,29.2,29,0.0
2025-10-06 10:36:31,b8:27:eb:a2:f4:62,Poste 4,29.2,29,0.0
2025-10-06 10:36:33,b8:27:eb:a2:f4:62,Poste 4,29.2,29,0.0
2025-10-06 10:36:35,b8:27:eb:a2:f4:62,Poste 4,29.2,29,0.0
2025-10-06 10:36:37,b8:27:eb:a2:f4:62,Poste 4,29.2,29,0.0
2025-10-06 10:36:39,b8:27:eb:a2:f4:62,Poste 4,29.2,29,0.0
2025-10-06 10:36:41,b8:27:eb:a2:f4:62,Poste 4,28.8,29,0.3
2025-10-06 10:36:43,b8:27:eb:a2:f4:62,Poste 4,29.2,29,0.0
2025-10-06 10:36:45,b8:27:eb:a2:f4:62,Poste 4,29.2,29,0.0
2025-10-06 10:36:47,b8:27:eb:a2:f4:62,Poste 4,29.2,29,0.0
2025-10-06 10:36:49,b8:27:eb:a2:f4:62,Poste 4,29.2,29,0.0
2025-10-06 10:36:51,b8:27:eb:a2:f4:62,Poste 4,29.2,29,0.0
2025-10-06 10:36:53,b8:27:eb:a2:f4:62,Poste 4,29.2,29,0.0
2025-10-06 10:36:55,b8:27:eb:a2:f4:62,Poste 4,29.2,29,0.0
2025-10-06 10:36:57,b8:27:eb:a2:f4:62,Poste 4,29.2,29,0.0
2025-10-06 10:36:59,b8:27:eb:a2:f4:62,Poste 4,29.2,29,0.0
2025-10-06 10:37:01,b8:27:eb:a2:f4:62,Poste 4,29.0,29,0.1
2025-10-06 10:37:03,b8:27:eb:a2:f4:62,Poste 4,29.0,29,0.0
2025-10-06 10:37:05,b8:27:eb:a2:f4:62,Poste 4,29.0,29,0.0
2025-10-06 10:37:07,b8:27:eb:a2:f4:62,Poste 4,29.2,29,0.0
2025-10-06 10:37:09,b8:27:eb:a2:f4:62,Poste 4,29.2,29,0.0
2025-10-06 10:37:11,b8:27:eb:a2:f4:62,Poste 4,29.0,29,0.1
2025-10-06 10:37:13,b8:27:eb:a2:f4:62,Poste 4,28.8,29,0.2
2025-10-06 10:37:15,b8:27:eb:a2:f4:62,Poste 4,29.0,29,0.1
2025-10-06 10:37:17,b8:27:eb:a2:f4:62,Poste 4,29.0,29,0.1
2025-10-06 10:37:19,b8:27:eb:a2:f4:62,Poste 4,29.0,29,0.1
2025-10-06 10:37:21,b8:27:eb:a2:f4:62,Poste 4,29.0,29,0.1
2025-10-06 10:37:23,b8:27:eb:a2:f4:62,Poste 4,29.0,29,0.1
2025-10-06 10:37:25,b8:27:eb:a2:f4:62,Poste 4,29.0,29,0.1
2025-10-06 10:37:27,b8:27:eb:a2:f4:62,Poste 4,29.0,29,0.1
2025-10-06 10:37:29,b8:27:eb:a2:f4:62,Poste 4,29.0,29,0.1
2025-10-06 10:37:31,b8:27:eb:a2:f4:62,Poste 4,29.0,29,0.1
2025-10-06 10:37:33,b8:27:eb:a2:f4:62,Poste 4,29.0,29,0.1
2025-10-06 10:37:35,b8:27:eb:a2:f4:62,Poste 4,28.8,29,0.3
2025-10-06 10:37:37,b8:27:eb:a2:f4:62,Poste 4,29.0,29,0.1
2025-10-06 10:37:39,b8:27:eb:a2:f4:62,Poste 4,29.0,29,0.1
2025-10-06 10:37:41,b8:27:eb:a2:f4:62,Poste 4,29.0,29,0.1
2025-10-06 10:37:43,b8:27:eb:a2:f4:62,Poste 4,29.0,29,0.1
2025-10-06 10:37:45,b8:27:eb:a2:f4:62,Poste 4,29.0,29,0.1
2025-10-06 10:37:47,b8:27:eb:a2:f4:62,Poste 4,28.5,29,0.6
2025-10-06 10:37:49,b8:27:eb:a2:f4:62,Poste 4,29.0,29,0.4
2025-10-06 10:37:51,b8:27:eb:a2:f4:62,Poste 4,29.0,29,0.4
2025-10-06 10:37:53,b8:27:eb:a2:f4:62,Poste 4,29.0,29,0.4
2025-10-06 10:37:55,b8:27:eb:a2:f4:62,Poste 4,29.0,29,0.4
2025-10-06 10:37:57,b8:27:eb:a2:f4:62,Poste 4,29.0,29,0.5
2025-10-06 10:37:59,b8:27:eb:a2:f4:62,Poste 4,29.0,29,0.7
2025-10-06 10:38:01,b8:27:eb:a2:f4:62,Poste 4,29.0,29,0.7
2025-10-06 10:38:03,b8:27:eb:a2:f4:62,Poste 4,28.8,29,0.9
2025-10-06 10:38:05,b8:27:eb:a2:f4:62,Poste 4,28.8,29,1.0
2025-10-06 10:38:07,b8:27:eb:a2:f4:62,Poste 4,29.0,29,0.9
2025-10-06 10:38:09,b8:27:eb:a2:f4:62,Poste 4,28.8,29,1.1
2025-10-06 10:38:11,b8:27:eb:a2:f4:62,Poste 4,29.0,29,1.1
2025-10-06 10:38:13,b8:27:eb:a2:f4:62,Poste 4,28.8,29,1.3
2025-10-06 10:38:15,b8:27:eb:a2:f4:62,Poste 4,28.8,29,1.5
2025-10-06 10:38:17,b8:27:eb:a2:f4:62,Poste 4,28.8,29,1.8
2025-10-06 10:38:19,b8:27:eb:a2:f4:62,Poste 4,29.0,29,1.8
2025-10-06 10:38:21,b8:27:eb:a2:f4:62,Poste 4,29.0,29,1.9
2025-10-06 10:38:23,b8:27:eb:a2:f4:62,Poste 4,28.8,29,2.2
2025-10-06 10:38:25,b8:27:eb:a2:f4:62,Poste 4,28.8,29,2.5
2025-10-06 10:38:27,b8:27:eb:a2:f4:62,Poste 4,28.8,29,2.7
2025-10-06 10:38:29,b8:27:eb:a2:f4:62,Poste 4,28.8,29,3.0
2025-10-06 10:38:31,b8:27:eb:a2:f4:62,Poste 4,28.8,29,3.3
2025-10-06 10:38:33,b8:27:eb:a2:f4:62,Poste 4,28.8,29,3.5
2025-10-06 10:38:35,b8:27:eb:a2:f4:62,Poste 4,28.8,29,3.8
2025-10-06 10:38:37,b8:27:eb:a2:f4:62,Poste 4,28.8,29,4.1
2025-10-06 10:38:39,b8:27:eb:a2:f4:62,Poste 4,28.8,29,4.3
2025-10-06 10:38:41,b8:27:eb:a2:f4:62,Poste 4,28.8,29,4.6
2025-10-06 10:38:43,b8:27:eb:a2:f4:62,Poste 4,28.8,29,4.9
2025-10-06 10:38:45,b8:27:eb:a2:f4:62,Poste 4,28.8,29,5.1
2025-10-06 10:38:47,b8:27:eb:a2:f4:62,Poste 4,28.8,29,5.4
2025-10-06 10:38:49,b8:27:eb:a2:f4:62,Poste 4,28.8,29,5.7
2025-10-06 10:38:51,b8:27:eb:a2:f4:62,Poste 4,28.8,29,5.9
2025-10-06 10:38:53,b8:27:eb:a2:f4:62,Poste 4,28.8,29,6.2
2025-10-06 10:38:55,b8:27:eb:a2:f4:62,Poste 4,28.8,29,6.5
2025-10-06 10:38:57,b8:27:eb:a2:f4:62,Poste 4,29.0,29,6.3
2025-10-06 10:38:59,b8:27:eb:a2:f4:62,Poste 4,28.8,29,6.7
2025-10-06 10:39:01,b8:27:eb:a2:f4:62,Poste 4,28.8,29,6.9
2025-10-06 10:39:03,b8:27:eb:a2:f4:62,Poste 4,28.8,29,7.2
2025-10-06 10:39:05,b8:27:eb:a2:f4:62,Poste 4,28.8,29,7.5
2025-10-06 10:39:07,b8:27:eb:a2:f4:62,Poste 4,28.8,29,7.7
2025-10-06 10:39:09,b8:27:eb:a2:f4:62,Poste 4,29.0,29,7.9
2025-10-06 10:39:11,b8:27:eb:a2:f4:62,Poste 4,29.0,29,7.9
2025-10-06 10:39:13,b8:27:eb:a2:f4:62,Poste 4,29.0,29,7.9
2025-10-06 10:39:15,b8:27:eb:a2:f4:62,Poste 4,29.0,29,7.9
2025-10-06 10:39:17,b8:27:eb:a2:f4:62,Poste 4,29.0,29,7.9
2025-10-06 10:39:19,b8:27:eb:a2:f4:62,Poste 4,28.5,29,8.4
2025-10-06 10:39:21,b8:27:eb:a2:f4:62,Poste 4,29.0,29,8.2
2025-10-06 10:39:23,b8:27:eb:a2:f4:62,Poste 4,29.0,29,8.2
2025-10-06 10:39:25,b8:27:eb:a2:f4:62,Poste 4,29.0,29,8.2
2025-10-06 10:39:27,b8:27:eb:a2:f4:62,Poste 4,29.0,29,8.2
2025-10-06 10:39:29,b8:27:eb:a2:f4:62,Poste 4,29.0,29,8.2
2025-10-06 10:39:31,b8:27:eb:a2:f4:62,Poste 4,29.0,29,8.3
2025-10-06 10:39:33,b8:27:eb:a2:f4:62,Poste 4,29.0,29,8.3
2025-10-06 10:39:35,b8:27:eb:a2:f4:62,Poste 4,29.0,29,8.3
2025-10-06 10:39:37,b8:27:eb:a2:f4:62,Poste 4,29.0,29,8.3
2025-10-06 10:39:39,b8:27:eb:a2:f4:62,Poste 4,29.0,29,8.3
2025-10-06 10:39:41,b8:27:eb:a2:f4:62,Poste 4,28.8,29,8.5
2025-10-06 10:39:43,b8:27:eb:a2:f4:62,Poste 4,29.2,29,8.1
2025-10-06 10:39:45,b8:27:eb:a2:f4:62,Poste 4,29.0,29,8.1
2025-10-06 10:39:47,b8:27:eb:a2:f4:62,Poste 4,29.2,29,7.6
2025-10-06 10:39:49,b8:27:eb:a2:f4:62,Poste 4,29.2,29,7.2
2025-10-06 10:39:51,b8:27:eb:a2:f4:62,Poste 4,29.2,29,6.8
2025-10-06 10:39:53,b8:27:eb:a2:f4:62,Poste 4,29.2,29,6.7
2025-10-06 10:39:55,b8:27:eb:a2:f4:62,Poste 4,29.2,29,6.3
2025-10-06 10:39:57,b8:27:eb:a2:f4:62,Poste 4,29.2,29,5.9
2025-10-06 10:39:59,b8:27:eb:a2:f4:62,Poste 4,29.2,29,5.5
2025-10-06 10:40:01,b8:27:eb:a2:f4:62,Poste 4,29.2,29,5.1
2025-10-06 10:40:03,b8:27:eb:a2:f4:62,Poste 4,28.8,29,5.3
2025-10-06 10:40:05,b8:27:eb:a2:f4:62,Poste 4,29.2,29,4.7
2025-10-06 10:40:07,b8:27:eb:a2:f4:62,Poste 4,29.2,29,4.3
2025-10-06 10:40:09,b8:27:eb:a2:f4:62,Poste 4,29.2,29,4.1
2025-10-06 10:40:11,b8:27:eb:a2:f4:62,Poste 4,29.0,29,3.9
2025-10-06 10:40:13,b8:27:eb:a2:f4:62,Poste 4,27.0,29,5.7
2025-10-06 10:40:15,b8:27:eb:a2:f4:62,Poste 4,29.2,29,4.5
2025-10-06 10:40:17,b8:27:eb:a2:f4:62,Poste 4,29.2,29,4.1
2025-10-06 10:40:19,b8:27:eb:a2:f4:62,Poste 4,29.2,29,3.7
2025-10-06 10:40:21,b8:27:eb:a2:f4:62,Poste 4,29.2,29,3.3
2025-10-06 10:40:23,b8:27:eb:a2:f4:62,Poste 4,29.2,29,3.1
2025-10-06 10:40:25,b8:27:eb:a2:f4:62,Poste 4,29.2,29,3.1
2025-10-06 10:40:27,b8:27:eb:a2:f4:62,Poste 4,29.2,29,2.7
2025-10-06 10:40:29,b8:27:eb:a2:f4:62,Poste 4,29.0,29,2.5
2025-10-06 10:40:31,b8:27:eb:a2:f4:62,Poste 4,29.2,29,2.1
2025-10-06 10:40:33,b8:27:eb:a2:f4:62,Poste 4,29.2,29,1.7
2025-10-06 10:40:35,b8:27:eb:a2:f4:62,Poste 4,29.0,29,1.5
2025-10-06 10:40:37,b8:27:eb:a2:f4:62,Poste 4,29.0,29,1.3
2025-10-06 10:40:39,b8:27:eb:a2:f4:62,Poste 4,29.2,29,0.9
2025-10-06 10:40:41,b8:27:eb:a2:f4:62,Poste 4,29.2,29,0.5
2025-10-06 10:40:43,b8:27:eb:a2:f4:62,Poste 4,29.0,29,0.5
2025-10-06 10:40:45,b8:27:eb:a2:f4:62,Poste 4,29.0,29,0.5
2025-10-06 10:40:47,b8:27:eb:a2:f4:62,Poste 4,29.0,29,0.9
2025-10-06 10:40:49,b8:27:eb:a2:f4:62,Poste 4,29.0,29,0.9
2025-10-06 10:40:51,b8:27:eb:a2:f4:62,Poste 4,29.0,29,0.9
2025-10-06 10:40:53,b8:27:eb:a2:f4:62,Poste 4,29.0,29,0.9
